time,p_import_(kw)_fixed,p_export_(kw)_fixed,p_bat_ch_(kw)_fixed,p_bat_dis_(kw)_fixed,soc_(%)_fixed,p_import_(kw)_dynamic,p_export_(kw)_dynamic,p_bat_ch_(kw)_dynamic,p_bat_dis_(kw)_dynamic,soc_(%)_dynamic,p_import_(kw)_homer,p_export_(kw)_homer,p_bat_ch_(kw)_homer,p_bat_dis_(kw)_homer,soc_(%)_homer,import_diff_fixed_vs_dynamic,import_diff_fixed_vs_homer,export_diff_fixed_vs_dynamic,export_diff_fixed_vs_homer,soc_diff_fixed_vs_dynamic,soc_diff_fixed_vs_homer
2024-01-01 00:00:00,0.0,965.59962,0.0,1000.0,98.0,0.0,965.59962,0.0,1000.0,98.0,0.0,0.0,0.0,35.10243,99.11591,0.0,0.0,0.0,965.59962,0.0,-1.1159099999999995
2024-01-01 00:30:00,0.0,988.19962,0.0,1000.0,98.0,0.0,988.19962,0.0,1000.0,98.0,0.0,0.0,0.0,12.04121,98.81265,0.0,0.0,0.0,988.19962,0.0,-0.812650000000005
2024-01-01 01:00:00,0.0,999.99563,0.0,1000.0,98.0,0.0,999.99563,0.0,1000.0,98.0,0.0,0.0,0.0,0.004455521,98.81254,0.0,0.0,0.0,999.99563,0.0,-0.8125399999999985
2024-01-01 01:30:00,0.0,999.99563,0.0,1000.0,98.0,0.0,999.99563,0.0,1000.0,98.0,0.0,0.0,0.0,0.004455521,98.81242,0.0,0.0,0.0,999.99563,0.0,-0.812420000000003
2024-01-01 02:00:00,0.0,1000.0,0.0,1000.0,98.0,0.0,1000.0,0.0,1000.0,98.0,0.0,0.0,0.0,0.0,98.81242,0.0,0.0,0.0,1000.0,0.0,-0.812420000000003
2024-01-01 02:30:00,0.0,1000.0,0.0,1000.0,98.0,0.0,1000.0,0.0,1000.0,98.0,0.0,0.0,0.0,0.0,98.81242,0.0,0.0,0.0,1000.0,0.0,-0.812420000000003
2024-01-01 03:00:00,0.0,1000.0,0.0,1000.0,98.0,0.0,1000.0,0.0,1000.0,98.0,0.0,0.0,0.0,0.0,98.81242,0.0,0.0,0.0,1000.0,0.0,-0.812420000000003
2024-01-01 03:30:00,0.0,996.6,0.0,1000.0,98.0,0.0,996.6,0.0,1000.0,98.0,0.0,0.0,0.0,3.469388,98.72504,0.0,0.0,0.0,996.6,0.0,-0.725040000000007
2024-01-01 04:00:00,0.0,1000.0,0.0,1000.0,98.0,0.0,1000.0,0.0,1000.0,98.0,0.0,0.0,0.0,0.0,98.72504,0.0,0.0,0.0,1000.0,0.0,-0.725040000000007
2024-01-01 04:30:00,0.0,1000.0,0.0,1000.0,98.0,0.0,1000.0,0.0,1000.0,98.0,0.0,0.0,0.0,0.0,98.72504,0.0,0.0,0.0,1000.0,0.0,-0.725040000000007
2024-01-01 05:00:00,0.0,1000.0,0.0,1000.0,98.0,0.0,1000.0,0.0,1000.0,98.0,0.0,0.0,0.0,0.0,98.72504,0.0,0.0,0.0,1000.0,0.0,-0.725040000000007
2024-01-01 05:30:00,0.0,1000.0,0.0,1000.0,98.0,0.0,1000.0,0.0,1000.0,98.0,0.0,0.0,0.0,0.0,98.72504,0.0,0.0,0.0,1000.0,0.0,-0.725040000000007
2024-01-01 06:00:00,0.0,1000.0,0.0,1000.0,98.0,0.0,1000.0,0.0,1000.0,98.0,0.0,0.0,0.0,0.0,98.72504,0.0,0.0,0.0,1000.0,0.0,-0.725040000000007
2024-01-01 06:30:00,0.0,1000.0,0.0,1000.0,98.0,0.0,1000.0,0.0,1000.0,98.0,0.0,0.0,0.0,0.0,98.72504,0.0,0.0,0.0,1000.0,0.0,-0.725040000000007
2024-01-01 07:00:00,0.0,999.6,0.0,1000.0,98.0,0.0,999.6,0.0,1000.0,98.0,0.0,0.0,0.0,0.4081632,98.71477,0.0,0.0,0.0,999.6,0.0,-0.7147700000000015
2024-01-01 07:30:00,0.0,998.0,0.0,1000.0,98.0,0.0,998.0,0.0,1000.0,98.0,0.0,0.0,0.0,2.040816,98.66337,0.0,0.0,0.0,998.0,0.0,-0.6633700000000005
2024-01-01 08:00:00,0.0,1000.0,0.0,997.932099,98.0,0.0,1000.0,0.0,997.932099,98.0,0.0,0.0,2.067901,0.0,98.71128,0.0,0.0,0.0,1000.0,0.0,-0.7112800000000021
2024-01-01 08:30:00,0.0,996.267901,0.0,1000.0,98.0,0.0,996.267901,0.0,1000.0,98.0,0.0,0.0,0.0,3.850466,98.6143,0.0,0.0,0.0,996.267901,0.0,-0.6143000000000001
2024-01-01 09:00:00,0.0,1000.0,0.0,996.23013,98.0,0.0,1000.0,0.0,996.23013,98.0,0.0,0.0,3.471912,0.0,98.69475,0.0,0.0,0.0,1000.0,0.0,-0.6947499999999991
2024-01-01 09:30:00,0.0,1000.0,0.0,982.83013,98.0,0.0,1000.0,0.0,982.83013,98.0,0.0,4.591254,12.46043,0.0,98.98347,0.0,0.0,0.0,995.408746,0.0,-0.983469999999997
