time,strategy,interval,iteration_cost_value
2024-12-25 00:00:00,DYNAMIC,17232,-108.956395496
2024-12-25 00:30:00,DYNAMIC,17233,-106.756395496
2024-12-25 01:00:00,DYNAMIC,17234,-278.908392026
2024-12-25 01:30:00,DYNAMIC,17235,-229.9081561
2024-12-25 02:00:00,DYNAMIC,17236,-422.64267977000003
2024-12-25 02:30:00,DYNAMIC,17237,-461.84267977
2024-12-25 03:00:00,DYNAMIC,17238,-390.0
2024-12-25 03:30:00,DYNAMIC,17239,-251.2
2024-12-25 04:00:00,DYNAMIC,17240,-0.2
2024-12-25 04:30:00,DYNAMIC,17241,0.0
2024-12-25 05:00:00,DYNAMIC,17242,-68.59999
2024-12-25 05:30:00,DYNAMIC,17243,-9.199999
2024-12-25 06:00:00,DYNAMIC,17244,-636.4
2024-12-25 06:30:00,DYNAMIC,17245,-91.19999
2024-12-25 07:00:00,DYNAMIC,17246,-73.59999
2024-12-25 07:30:00,DYNAMIC,17247,-87.8
2024-12-25 08:00:00,DYNAMIC,17248,-95.1249777632
2024-12-25 08:30:00,DYNAMIC,17249,-41.339591999999996
2024-12-25 09:00:00,DYNAMIC,17250,-4.60202290428
2024-12-25 09:30:00,DYNAMIC,17251,-12.929496
2024-12-25 10:00:00,DYNAMIC,17252,-402.32137
2024-12-25 10:30:00,DYNAMIC,17253,0.0
2024-12-25 11:00:00,DYNAMIC,17254,-7.29616569786
2024-12-25 11:30:00,DYNAMIC,17255,-7.95744969786
2024-12-25 12:00:00,DYNAMIC,17256,-288.86902200000003
2024-12-25 12:30:00,DYNAMIC,17257,-1.111889888811
2024-12-25 13:00:00,DYNAMIC,17258,-251.832658
2024-12-25 13:30:00,DYNAMIC,17259,-268.815162
2024-12-25 14:00:00,DYNAMIC,17260,-283.15992
2024-12-25 14:30:00,DYNAMIC,17261,-261.34414000000004
2024-12-25 15:00:00,DYNAMIC,17262,-415.39865400499997
2024-12-25 15:30:00,DYNAMIC,17263,-560.5985540050001
2024-12-25 16:00:00,DYNAMIC,17264,-522.79753456
2024-12-25 16:30:00,DYNAMIC,17265,-306.99753456
2024-12-25 17:00:00,DYNAMIC,17266,-319.456928289
2024-12-25 17:30:00,DYNAMIC,17267,-382.05692828900004
2024-12-25 18:00:00,DYNAMIC,17268,-246.056428325
2024-12-25 18:30:00,DYNAMIC,17269,-283.656428325
2024-12-25 19:00:00,DYNAMIC,17270,-387.691868292
2024-12-25 19:30:00,DYNAMIC,17271,-409.49672370400003
2024-12-25 20:00:00,DYNAMIC,17272,-173.8
2024-12-25 20:30:00,DYNAMIC,17273,-178.0
2024-12-25 21:00:00,DYNAMIC,17274,-130.0
2024-12-25 21:30:00,DYNAMIC,17275,-163.4
2024-12-25 22:00:00,DYNAMIC,17276,-169.0
2024-12-25 22:30:00,DYNAMIC,17277,-187.6
2024-12-25 23:00:00,DYNAMIC,17278,-149.2
2024-12-25 23:30:00,DYNAMIC,17279,-158.8
