Time,P_import (kW),P_export (kW),P_bat_ch (kW),P_bat_dis (kW),SOC (%),strategy
2024-01-01 01:00:00,0.0,15.163048,0.0,20.123998,5.0,FIXED
2024-01-01 01:30:00,0.0,15.163048,0.0,20.123998,5.0,FIXED
2024-01-01 02:00:00,0.0,15.163048,0.0,20.123998,5.0,FIXED
2024-01-01 02:30:00,0.0,15.163048,0.0,20.123998,5.0,FIXED
2024-01-01 03:00:00,0.0,9.404087,0.0,10.924999,5.0,FIXED
2024-01-01 03:30:00,0.0,3.645126,0.0,3.986,5.0,FIXED
2024-01-01 04:00:00,0.0,1.822563,0.0,2.163,5.0,FIXED
2024-01-01 04:30:00,0.0,0.0,0.0,0.34,5.0,FIXED
2024-01-01 05:00:00,0.0,0.0,0.0,0.38,5.0,FIXED
2024-01-01 05:30:00,0.0,0.0,0.0,0.58,5.0,FIXED
2024-01-01 06:00:00,0.0,0.2067901,0.0,0.58,5.0,FIXED
2024-01-01 06:30:00,0.0,0.4135802,0.0,0.82,5.0,FIXED
2024-01-01 07:00:00,0.0,2.2505672,0.0,2.28,5.0,FIXED
2024-01-01 07:30:00,0.0,2.4,0.0,2.4,5.0,FIXED
2024-01-01 08:00:00,0.0,3.796,0.0,3.796,5.0,FIXED
2024-01-01 08:30:00,0.0,5.092,0.0,5.092,5.0,FIXED
2024-01-01 09:00:00,0.0,5.232,0.0,5.232,5.0,FIXED
2024-01-01 09:30:00,0.0,5.492,0.0,5.492,5.0,FIXED
2024-01-01 10:00:00,0.0,5.452,0.0,5.452,5.0,FIXED
2024-01-01 10:30:00,0.0,8.592,0.0,8.592,5.0,FIXED
2024-01-01 11:00:00,0.0,12.781249,0.0,19.532,5.0,FIXED
2024-01-01 11:30:00,0.0,14.538271,0.0,29.392,5.0,FIXED
2024-01-01 12:00:00,0.0,13.142283,0.0,36.651999,5.0,FIXED
2024-01-01 12:30:00,0.0,11.746296,0.0,51.851999,5.0,FIXED
2024-01-01 13:00:00,0.0,14.920079,0.0,68.878999,5.0,FIXED
2024-01-01 13:30:00,0.0,18.093863,0.0,84.425999,5.0,FIXED
2024-01-01 14:00:00,0.0,27.362128,0.0,103.251,5.0,FIXED
2024-01-01 14:30:00,0.0,36.630393,0.0,122.356,5.0,FIXED
2024-01-01 15:00:00,0.0,42.417071,0.0,137.722,5.0,FIXED
2024-01-01 15:30:00,0.0,48.203749,0.0,146.168,5.0,FIXED
2024-01-01 16:00:00,0.0,46.239937,0.0,136.888,5.0,FIXED
2024-01-01 16:30:00,0.0,44.276125,0.0,127.488,5.0,FIXED
