time,P_import (kW),P_export (kW),P_bat_ch (kW),P_bat_dis (kW),SOC
2024-01-01 00:00:00,0.0,1000.0,0.0,1200.0,100.0
2024-01-01 00:30:00,11.800379999999905,0.0,0.0,0.0,100.0
2024-01-01 01:00:00,0.004370000000001539,0.0,0.0,0.0,100.0
2024-01-01 01:30:00,0.004370000000001539,0.0,0.0,0.0,100.0
2024-01-01 02:00:00,0.0,0.0,0.0,0.0,100.0
2024-01-01 02:30:00,0.0,0.0,0.0,0.0,100.0
2024-01-01 03:00:00,0.0,0.0,0.0,0.0,100.0
2024-01-01 03:30:00,3.4,0.0,0.0,0.0,100.0
2024-01-01 04:00:00,926.5675067839331,0.0,926.5675067839333,0.0,980.2391314447366
2024-01-01 04:30:00,1000.0,0.0,1000.0,0.0,1930.2391314447366
2024-01-01 05:00:00,0.0,0.0,0.0,0.0,1930.2391314447366
2024-01-01 05:30:00,0.0,0.0,0.0,0.0,1930.2391314447366
2024-01-01 06:00:00,0.0,0.0,0.0,0.0,1930.2391314447366
2024-01-01 06:30:00,0.0,0.0,0.0,0.0,1930.2391314447366
2024-01-01 07:00:00,0.4,0.0,0.0,0.0,1930.2391314447366
2024-01-01 07:30:00,2.0,0.0,0.0,0.0,1930.2391314447366
2024-01-01 08:00:00,0.0,0.0,2.067901,0.0,1932.2036373947367
2024-01-01 08:30:00,0.0,0.0,0.0,3.732099,1928.275112131579
2024-01-01 09:00:00,0.0,0.0,3.769869999999999,0.0,1931.856488631579
2024-01-01 09:30:00,0.0,0.0,17.16987,0.0,1948.167865131579
2024-01-01 10:00:00,0.0,0.0,0.0,5.236912,1942.6553261842105
2024-01-01 10:30:00,0.0,0.0,0.0,4.236912,1938.1954188157895
2024-01-01 11:00:00,0.0,0.0,0.0,0.22897299999999987,1937.9543946052631
2024-01-01 11:30:00,0.0,0.0,0.0,1.428973,1936.4502125
2024-01-01 12:00:00,0.0,1000.0,0.0,1200.0,100.0
2024-01-01 12:30:00,903.3145771468144,0.0,894.7038271468143,0.0,949.9686357894736
2024-01-01 13:00:00,0.0,0.0,0.0,89.76188,855.4824463157894
2024-01-01 13:30:00,0.0,0.0,0.0,84.76188,766.259414736842
2024-01-01 14:00:00,82.789996,0.0,0.0,0.0,766.259414736842
2024-01-01 14:30:00,148.79000599999998,0.0,0.0,0.0,766.259414736842
2024-01-01 15:00:00,0.0,0.0,0.0,143.76907699999998,614.9235442105263
2024-01-01 15:30:00,0.0,0.0,0.0,127.969077,480.21925263157897
2024-01-01 16:00:00,0.0,0.0,0.0,95.79632000000001,379.3810210526316
2024-01-01 16:30:00,0.0,0.0,0.0,99.79632000000001,274.3322631578947
2024-01-01 17:00:00,0.0,0.0,0.0,71.00397,199.59124210526315
2024-01-01 17:30:00,0.0,0.0,0.0,35.20397,162.53443157894736
2024-01-01 18:00:00,0.0,0.0,0.0,16.6,145.06074736842106
2024-01-01 18:30:00,0.0,0.0,0.0,10.4,134.11337894736843
2024-01-01 19:00:00,0.0,0.0,0.0,12.403850000000006,121.0566947368421
2024-01-01 19:30:00,0.0,0.0,0.0,20.003860000000003,100.0
2024-01-01 20:00:00,2.996200000000016,0.0,0.0,0.0,100.0
2024-01-01 20:30:00,2.796199999999999,0.0,0.0,0.0,100.0
2024-01-01 21:00:00,0.0005099999999913507,0.0,0.0,0.0,100.0
2024-01-01 21:30:00,0.6005099999999999,0.0,0.0,0.0,100.0
2024-01-01 22:00:00,1.2,0.0,0.0,0.0,100.0
2024-01-01 22:30:00,10.2,0.0,0.0,0.0,100.0
2024-01-01 23:00:00,14.398584,0.0,0.0,0.0,100.0
2024-01-01 23:30:00,18.598584000000002,0.0,0.0,0.0,100.0
2024-01-02 00:00:00,0.0,1000.0,0.0,1200.0,100.0
2024-01-02 00:30:00,16.996759999999995,0.0,0.0,0.0,100.0
2024-01-02 01:00:00,66.00344000000001,0.0,0.0,0.0,100.0
2024-01-02 01:30:00,66.40343999999999,0.0,0.0,0.0,100.0
2024-01-02 02:00:00,2.9963100000000082,0.0,0.0,0.0,100.0
2024-01-02 02:30:00,1.196300000000008,0.0,0.0,0.0,100.0
2024-01-02 03:00:00,960.4947368421045,0.0,960.2947368421046,0.0,1012.2799999999993
2024-01-02 03:30:00,1000.0,0.0,997.6,0.0,1960.0
2024-01-02 04:00:00,9.204500000000003,0.0,0.0,0.0,1960.0
2024-01-02 04:30:00,221.2045,0.0,0.0,0.0,1960.0
2024-01-02 05:00:00,222.6007,0.0,0.0,0.0,1960.0
2024-01-02 05:30:00,510.00059999999996,0.0,0.0,0.0,1960.0
2024-01-02 06:00:00,853.3977,0.0,0.0,0.0,1960.0
2024-01-02 06:30:00,991.7977000000001,0.0,0.0,0.0,1960.0
2024-01-02 07:00:00,1000.0,0.0,0.0,46.80439999999999,1910.7322105263158
2024-01-02 07:30:00,1000.0,0.0,0.0,97.60440000000017,1807.9907368421052
2024-01-02 08:00:00,1000.0,0.0,0.0,53.39699499999983,1751.7833736842106
2024-01-02 08:30:00,1000.0,0.0,0.0,80.19699500000002,1667.3654842105263
2024-01-02 09:00:00,998.59221,0.0,0.0,0.0,1667.3654842105263
