time,P_import (kW),P_export (kW),P_bat_ch (kW),P_bat_dis (kW),SOC (%)
2024-01-01 00:00:00,0.0,965.59962,0.0,1000.0,5.0
2024-01-01 00:30:00,0.0,988.19962,0.0,1000.0,5.0
2024-01-01 01:00:00,0.0,999.99563,0.0,1000.0,5.0
2024-01-01 01:30:00,0.0,999.99563,0.0,1000.0,5.0
2024-01-01 02:00:00,0.0,1000.0,0.0,1000.0,5.0
2024-01-01 02:30:00,0.0,1000.0,0.0,1000.0,5.0
2024-01-01 03:00:00,0.0,1000.0,0.0,1000.0,5.0
2024-01-01 03:30:00,0.0,996.6,0.0,1000.0,5.0
2024-01-01 04:00:00,0.0,1000.0,0.0,1000.0,5.0
2024-01-01 04:30:00,0.0,1000.0,0.0,1000.0,5.0
2024-01-01 05:00:00,0.0,1000.0,0.0,1000.0,5.0
2024-01-01 05:30:00,0.0,1000.0,0.0,1000.0,5.0
2024-01-01 06:00:00,0.0,1000.0,0.0,1000.0,5.0
2024-01-01 06:30:00,0.0,1000.0,0.0,1000.0,5.0
2024-01-01 07:00:00,0.0,999.6,0.0,1000.0,5.0
2024-01-01 07:30:00,0.0,998.0,0.0,1000.0,5.0
2024-01-01 08:00:00,0.0,1000.0,0.0,997.9321,5.0
2024-01-01 08:30:00,0.0,996.2679,0.0,1000.0,5.0
2024-01-01 09:00:00,0.0,1000.0,0.0,996.23013,5.0
2024-01-01 09:30:00,0.0,1000.0,0.0,982.83013,5.0
2024-01-01 10:00:00,0.0,994.76309,0.0,1000.0,5.0
2024-01-01 10:30:00,0.0,995.76309,0.0,1000.0,5.0
2024-01-01 11:00:00,0.0,999.77103,0.0,1000.0,5.0
2024-01-01 11:30:00,0.0,998.57103,0.0,1000.0,5.0
2024-01-01 12:00:00,0.0,1000.0,0.0,975.21075,5.0
2024-01-01 12:30:00,0.0,991.38925,0.0,1000.0,5.0
2024-01-01 13:00:00,0.0,910.23812,0.0,1000.0,5.0
2024-01-01 13:30:00,0.0,915.23812,0.0,1000.0,5.0
2024-01-01 14:00:00,0.0,917.21,0.0,1000.0,5.0
2024-01-01 14:30:00,0.0,851.20999,0.0,1000.0,5.0
2024-01-01 15:00:00,0.0,856.23092,0.0,1000.0,5.0
2024-01-01 15:30:00,0.0,872.03092,0.0,1000.0,5.0
2024-01-01 16:00:00,0.0,904.20368,0.0,1000.0,5.0
2024-01-01 16:30:00,0.0,900.20368,0.0,1000.0,5.0
2024-01-01 17:00:00,0.0,928.99603,0.0,1000.0,5.0
2024-01-01 17:30:00,0.0,964.79603,0.0,1000.0,5.0
2024-01-01 18:00:00,0.0,983.4,0.0,1000.0,5.0
2024-01-01 18:30:00,0.0,989.6,0.0,1000.0,5.0
2024-01-01 19:00:00,0.0,987.59615,0.0,1000.0,5.0
2024-01-01 19:30:00,0.0,979.99614,0.0,1000.0,5.0
2024-01-01 20:00:00,0.0,997.0038,0.0,1000.0,5.0
2024-01-01 20:30:00,0.0,997.2038,0.0,1000.0,5.0
2024-01-01 21:00:00,0.0,999.99949,0.0,1000.0,5.0
2024-01-01 21:30:00,0.0,999.39949,0.0,1000.0,5.0
2024-01-01 22:00:00,0.0,998.8,0.0,1000.0,5.0
2024-01-01 22:30:00,0.0,989.8,0.0,1000.0,5.0
2024-01-01 23:00:00,0.0,985.60142,0.0,1000.0,5.0
