time,P_import (kW),P_export (kW),P_bat_ch (kW),P_bat_dis (kW),SOC
2024-01-01 00:00:00,0.0,1000.0,0.0,1200.0,100.0
2024-01-01 00:30:00,11.800379999999905,0.0,0.0,0.0,100.0
2024-01-01 01:00:00,0.004370000000001539,0.0,0.0,0.0,100.0
2024-01-01 01:30:00,0.004370000000001539,0.0,0.0,0.0,100.0
2024-01-01 02:00:00,0.0,0.0,0.0,0.0,100.0
2024-01-01 02:30:00,0.0,0.0,0.0,0.0,100.0
2024-01-01 03:00:00,0.0,0.0,0.0,0.0,100.0
2024-01-01 03:30:00,3.4,0.0,0.0,0.0,100.0
2024-01-01 04:00:00,0.0,0.0,0.0,0.0,100.0
2024-01-01 04:30:00,0.0,0.0,0.0,0.0,100.0
2024-01-01 05:00:00,0.0,0.0,0.0,0.0,100.0
2024-01-01 05:30:00,0.0,0.0,0.0,0.0,100.0
2024-01-01 06:00:00,0.0,0.0,0.0,0.0,100.0
2024-01-01 06:30:00,0.0,0.0,0.0,0.0,100.0
2024-01-01 07:00:00,0.4,0.0,0.0,0.0,100.0
2024-01-01 07:30:00,2.0,0.0,0.0,0.0,100.0
2024-01-01 08:00:00,0.0,0.0,2.067901,0.0,101.96450595
2024-01-01 08:30:00,1.8658183474999968,0.0,0.0,1.866280652500003,100.0
2024-01-01 09:00:00,0.0,0.0,3.769869999999999,0.0,103.5813765
2024-01-01 09:30:00,0.0,0.0,17.16987,0.0,119.892753
2024-01-01 10:00:00,5.236912,0.0,0.0,0.0,119.892753
2024-01-01 10:30:00,4.236912,0.0,0.0,0.0,119.892753
2024-01-01 11:00:00,0.22897299999999987,0.0,0.0,0.0,119.892753
2024-01-01 11:30:00,1.428973,0.0,0.0,0.0,119.892753
2024-01-01 12:00:00,0.0,1000.0,0.0,1200.0,100.0
2024-01-01 12:30:00,8.61075,0.0,0.0,0.0,100.0
2024-01-01 13:00:00,89.76188,0.0,0.0,0.0,100.0
2024-01-01 13:30:00,84.76188,0.0,0.0,0.0,100.0
2024-01-01 14:00:00,82.78999599999861,0.0,0.0,0.0,100.0
2024-01-01 14:30:00,148.7900059999988,0.0,0.0,0.0,100.0
2024-01-01 15:00:00,143.76907699999856,0.0,0.0,0.0,100.0
2024-01-01 15:30:00,127.96907699999883,0.0,0.0,0.0,100.0
2024-01-01 16:00:00,95.79631999999856,0.0,0.0,0.0,100.0
2024-01-01 16:30:00,99.79631999999856,0.0,0.0,0.0,100.0
2024-01-01 17:00:00,71.00396999999884,0.0,0.0,0.0,100.0
2024-01-01 17:30:00,35.20396999999866,0.0,0.0,0.0,100.0
2024-01-01 18:00:00,16.6,0.0,0.0,0.0,100.0
2024-01-01 18:30:00,10.4,0.0,0.0,0.0,100.0
2024-01-01 19:00:00,12.403849999998783,0.0,0.0,0.0,100.0
2024-01-01 19:30:00,20.00385999999844,0.0,0.0,0.0,100.0
2024-01-01 20:00:00,2.99619999999868,0.0,0.0,0.0,100.0
2024-01-01 20:30:00,2.796199999998862,0.0,0.0,0.0,100.0
2024-01-01 21:00:00,0.0005099999999913507,0.0,0.0,0.0,100.0
2024-01-01 21:30:00,0.6005099999988488,0.0,0.0,0.0,100.0
2024-01-01 22:00:00,1.2,0.0,0.0,0.0,100.0
2024-01-01 22:30:00,10.2,0.0,0.0,0.0,100.0
2024-01-01 23:00:00,14.398583999998664,0.0,0.0,0.0,100.0
2024-01-01 23:30:00,18.598583999998482,0.0,0.0,0.0,100.0
2024-01-02 00:00:00,0.0,1000.0,0.0,1200.0,100.0
2024-01-02 00:30:00,364.470444210526,0.0,347.473684210526,0.0,430.1
2024-01-02 01:00:00,66.00344000000001,0.0,0.0,0.0,430.1
2024-01-02 01:30:00,66.40343999999999,0.0,0.0,0.0,430.1
2024-01-02 02:00:00,2.9963100000000082,0.0,0.0,0.0,430.1
2024-01-02 02:30:00,1.196300000000008,0.0,0.0,0.0,430.1
2024-01-02 03:00:00,0.2,0.0,0.0,0.0,430.1
2024-01-02 03:30:00,2.4,0.0,0.0,0.0,430.1
2024-01-02 04:00:00,9.204500000000003,0.0,0.0,0.0,430.1
2024-01-02 04:30:00,221.2045,0.0,0.0,0.0,430.1
2024-01-02 05:00:00,222.6007,0.0,0.0,0.0,430.1
2024-01-02 05:30:00,510.00059999999996,0.0,0.0,0.0,430.1
2024-01-02 06:00:00,853.3977,0.0,0.0,0.0,430.1
2024-01-02 06:30:00,991.7977000000001,0.0,0.0,0.0,430.1
2024-01-02 07:00:00,1000.0,0.0,0.0,46.80439999999999,380.8322105263155
2024-01-02 07:30:00,1000.0,0.0,0.0,97.60440000000017,278.09073684210483
2024-01-02 08:00:00,1000.0,0.0,0.0,53.39699499999983,221.88337368421026
2024-01-02 08:30:00,1000.0,0.0,0.0,80.19699500000002,137.46548421052603
2024-01-02 09:00:00,998.59221,0.0,0.0,0.0,137.46548421052603
2024-01-02 09:30:00,1000.0,0.0,0.0,35.592209999999966,100.0
2024-01-02 10:00:00,962.5666999999999,0.0,0.0,0.0,100.0
2024-01-02 10:30:00,975.1667,0.0,0.0,0.0,100.0
2024-01-02 11:00:00,620.8097,0.0,0.0,0.0,100.0
