time,p_import_(kw),p_export_(kw),p_bat_ch_(kw),p_bat_dis_(kw),soc_(%),strategy
1704070800000000000,0.0,-4.96095,0.0,0.0,5.0,FIXED
1704072600000000000,4.96095,0.0,0.0,0.0,5.0,FIXED
1704074400000000000,4.96095,0.0,0.0,0.0,5.0,FIXED
1704076200000000000,4.96095,0.0,0.0,0.0,5.0,FIXED
1704078000000000000,745.3615,0.0,740.40055,0.0,40.169026,FIXED
1704079800000000000,1.520912,0.0,0.0,0.0,40.169026,FIXED
1704081600000000000,0.340874,0.0,0.0,0.0,40.169026,FIXED
1704083400000000000,0.340437,0.0,0.0,0.0,40.169026,FIXED
1704085200000000000,0.34,0.0,0.0,0.0,40.169026,FIXED
1704087000000000000,0.38,0.0,0.0,0.0,40.169026,FIXED
1704088800000000000,0.58,0.0,0.0,0.0,40.169026,FIXED
1704090600000000000,0.3732099,0.0,0.0,0.0,40.169026,FIXED
1704092400000000000,0.4064198,0.0,0.0,0.0,40.169026,FIXED
1704094200000000000,0.0294328,0.0,0.0,0.0,40.169026,FIXED
1704096000000000000,-1.6875542,0.0,0.0,0.0,40.169026,FIXED
1704097800000000000,-1.163863,0.0,0.0,0.0,40.169026,FIXED
1704099600000000000,-0.7401718,0.0,0.0,0.0,40.169026,FIXED
1704101400000000000,-0.7172745,0.0,0.0,0.0,40.169026,FIXED
1704103200000000000,-0.5743772,0.0,0.0,0.0,40.169026,FIXED
1704105000000000000,-3.0933022,0.0,0.0,0.0,40.169026,FIXED
1704106800000000000,-2.4322272,0.0,0.0,0.0,40.169026,FIXED
1704108600000000000,6.7507509,0.0,0.0,0.0,40.169026,FIXED
1704110400000000000,14.853729,0.0,0.0,0.0,40.169026,FIXED
1704112200000000000,23.509716,0.0,0.0,0.0,40.169026,FIXED
1704114000000000000,40.105703,0.0,0.0,0.0,40.169026,FIXED
1704115800000000000,53.95892,0.0,0.0,0.0,40.169026,FIXED
1704117600000000000,66.332136,0.0,0.0,0.0,40.169026,FIXED
1704119400000000000,0.0,0.0,0.0,75.888871,36.17487499999999,FIXED
1704121200000000000,0.0,0.0,0.0,85.725606,31.663001,FIXED
1704123000000000000,0.0,0.0,0.0,95.304928,26.646952,FIXED
1704124800000000000,0.0,0.0,0.0,97.96425,21.490939,FIXED
1704126600000000000,0.0,0.0,0.0,90.648062,16.7199885,FIXED
