time,P_import (kW),P_export (kW),P_bat_ch (kW),P_bat_dis (kW),SOC (%)
1704067200000000000,0.0,0.0,0.0,35.10243,99.11591
1704069000000000000,0.0,0.0,0.0,12.04121,98.81265
1704070800000000000,0.0,0.0,0.0,0.004455521,98.81254
1704072600000000000,0.0,0.0,0.0,0.004455521,98.81242
1704074400000000000,0.0,0.0,0.0,0.0,98.81242
1704076200000000000,0.0,0.0,0.0,0.0,98.81242
1704078000000000000,0.0,0.0,0.0,0.0,98.81242
1704079800000000000,0.0,0.0,0.0,3.469388,98.72504
1704081600000000000,0.0,0.0,0.0,0.0,98.72504
1704083400000000000,0.0,0.0,0.0,0.0,98.72504
1704085200000000000,0.0,0.0,0.0,0.0,98.72504
1704087000000000000,0.0,0.0,0.0,0.0,98.72504
1704088800000000000,0.0,0.0,0.0,0.0,98.72504
1704090600000000000,0.0,0.0,0.0,0.0,98.72504
1704092400000000000,0.0,0.0,0.0,0.4081632,98.71477
1704094200000000000,0.0,0.0,0.0,2.040816,98.66337
1704096000000000000,0.0,0.0,2.067901,0.0,98.71128
1704097800000000000,0.0,0.0,0.0,3.850466,98.6143
1704099600000000000,0.0,0.0,3.471912,0.0,98.69475
1704101400000000000,0.0,4.591254,12.46043,0.0,98.98347
1704103200000000000,0.0,0.0,0.0,5.387844,98.84777
1704105000000000000,0.0,0.0,0.0,4.367436,98.73778
1704106800000000000,0.0,0.0,0.0,0.2575447,98.73129
1704108600000000000,0.0,0.0,0.0,1.482034,98.69396
1704110400000000000,0.0,12.07488,12.46795,0.0,98.98286
1704112200000000000,9.106531,0.0,0.0,0.0,98.98286
1704114000000000000,0.0,0.0,0.0,91.99453,96.6659
1704115800000000000,0.0,0.0,0.0,86.89249,94.47744
1704117600000000000,82.8782,0.0,0.0,0.0,94.47744
1704119400000000000,148.8782,0.0,0.0,0.0,94.47744
1704121200000000000,143.7817,0.0,0.0,0.0,94.47744
1704123000000000000,127.9817,0.0,0.0,0.0,94.47744
1704124800000000000,95.7963,0.0,0.0,0.0,94.47744
1704126600000000000,99.7963,0.0,0.0,0.0,94.47744
1704128400000000000,0.0,500.0,0.0,582.6571,79.80274
1704130200000000000,0.0,500.0,0.0,546.1265,66.0481
1704132000000000000,0.0,0.0,0.0,16.93877,65.62148
1704133800000000000,0.0,0.0,0.0,10.61224,65.3542
1704135600000000000,0.0,0.0,0.0,12.65699,65.03543
1704137400000000000,0.0,0.0,0.0,20.4121,64.52133
1704139200000000000,0.0,0.0,0.0,3.057316,64.44434
1704141000000000000,0.0,0.0,0.0,2.853237,64.37247
1704142800000000000,0.0,0.0,0.0,0.0005257687,64.37246
1704144600000000000,0.0,0.0,0.0,0.6127691,64.35703
1704146400000000000,0.0,0.0,0.0,1.22449,64.32619
1704148200000000000,0.0,0.0,0.0,10.40816,64.06405
1704150000000000000,364.4588,0.0,343.059,0.0,72.01305
1704151800000000000,291.2257,0.0,267.1746,0.0,78.20374
1704153600000000000,225.719,0.0,208.0758,0.0,83.02505
1704155400000000000,182.3535,0.0,162.0496,0.0,86.7799
1704157200000000000,194.7834,0.0,126.2044,0.0,89.70418
1704159000000000000,166.6974,0.0,98.28805,0.0,91.98161
1704160800000000000,81.1053,0.0,76.54681,0.0,93.75526
1704162600000000000,62.02765,0.0,59.61472,0.0,95.1366
1704164400000000000,47.5755,0.0,46.42799,0.0,96.21238
1704166200000000000,39.29607,0.0,36.15815,0.0,97.05019
1704168000000000000,37.93919,0.0,28.16,0.0,97.70269
1704169800000000000,243.5831,0.0,21.93103,0.0,98.21085
1704171600000000000,240.0291,0.0,17.0799,0.0,98.60661
1704173400000000000,523.5739,0.0,13.30184,0.0,98.91483
1704175200000000000,853.3976,0.0,0.0,0.0,98.91483
1704177000000000000,991.7976,0.0,0.0,0.0,98.91483
1704178800000000000,1046.804,0.0,0.0,0.0,98.91483
1704180600000000000,1097.604,0.0,0.0,0.0,98.91483
1704182400000000000,1053.441,0.0,0.0,0.0,98.91483
1704184200000000000,1080.241,0.0,0.0,0.0,98.91483
1704186000000000000,25.79937,0.0,0.0,993.2009,73.90025
1704187800000000000,62.79936,0.0,0.0,993.2009,48.88567
1704189600000000000,965.3552,0.0,0.0,0.0,48.88567
1704191400000000000,977.9553,0.0,0.0,0.0,48.88567
1704193200000000000,630.6414,0.0,0.0,0.0,48.88567
