time,P_import (kW),P_export (kW),P_bat_ch (kW),P_bat_dis (kW),SOC (%)
2024-01-01 00:00:00,0.0,966.02594,0.0,1000.07214,98.0
2024-01-01 00:30:00,0.0,986.87866,0.0,999.4385,98.0
2024-01-01 01:00:00,0.0,997.6145,0.0,998.8687,98.0
2024-01-01 01:30:00,0.0,997.6145,0.0,998.86865,98.0
2024-01-01 02:00:00,0.0,998.13165,0.0,999.1091,98.0
2024-01-01 02:30:00,0.0,998.13165,0.0,999.1091,98.0
2024-01-01 03:00:00,0.0,999.4119,0.0,1000.3922,98.0
2024-01-01 03:30:00,0.0,996.4027,0.0,1000.4648,98.0
2024-01-01 04:00:00,0.0,999.3255,0.0,1000.1688,98.0
2024-01-01 04:30:00,0.0,999.3255,0.0,1000.1688,98.0
2024-01-01 05:00:00,0.0,999.34625,0.0,1000.11816,98.0
2024-01-01 05:30:00,0.0,999.34625,0.0,1000.11816,98.0
2024-01-01 06:00:00,0.0,999.43665,0.0,1000.22186,98.0
2024-01-01 06:30:00,0.0,999.43665,0.0,1000.22186,98.0
2024-01-01 07:00:00,0.0,998.71686,0.0,999.6673,98.0
2024-01-01 07:30:00,0.0,997.31146,0.0,999.71954,98.0
2024-01-01 08:00:00,0.0,998.32855,0.0,999.3256,98.0
2024-01-01 08:30:00,0.0,994.4402,0.0,1000.60547,98.0
2024-01-01 09:00:00,0.0,998.6122,0.0,997.66516,98.0
2024-01-01 09:30:00,0.0,1002.7523,0.0,985.9708,98.0
2024-01-01 10:00:00,0.0,991.6147,0.0,999.3897,98.0
2024-01-01 10:30:00,0.0,992.4735,0.0,999.28625,98.0
2024-01-01 11:00:00,0.0,996.1768,0.0,999.62604,98.0
2024-01-01 11:30:00,0.0,995.0273,0.0,999.7907,98.0
2024-01-01 12:00:00,0.0,1002.2737,0.0,982.9536,98.0
2024-01-01 12:30:00,0.0,989.13873,0.0,1000.6819,98.0
2024-01-01 13:00:00,0.0,912.6812,0.0,1002.36273,98.0
2024-01-01 13:30:00,0.0,917.7455,0.0,1002.27216,98.0
2024-01-01 14:00:00,0.0,921.659,0.0,1003.30927,98.0
2024-01-01 14:30:00,0.0,854.5836,0.0,1002.2342,98.0
2024-01-01 15:00:00,0.0,859.1703,0.0,1001.91974,98.0
2024-01-01 15:30:00,0.0,875.4699,0.0,1002.26166,98.0
2024-01-01 16:00:00,0.0,913.2285,0.0,1001.81415,98.0
2024-01-01 16:30:00,0.0,908.67725,0.0,1002.1056,98.0
2024-01-01 17:00:00,0.0,926.89154,0.0,1002.26465,98.0
2024-01-01 17:30:00,0.0,951.7956,0.0,999.0696,98.0
2024-01-01 18:00:00,0.0,984.7827,0.0,997.9327,98.0
2024-01-01 18:30:00,0.0,990.4711,0.0,997.3512,98.0
2024-01-01 19:00:00,0.0,988.34265,0.0,997.46875,98.0
2024-01-01 19:30:00,0.0,978.94086,0.0,1000.0449,98.0
2024-01-01 20:00:00,0.0,994.4856,0.0,999.3992,98.0
2024-01-01 20:30:00,0.0,994.6629,0.0,999.38055,98.0
2024-01-01 21:00:00,0.0,996.7604,0.0,998.7811,98.0
2024-01-01 21:30:00,0.0,996.23395,0.0,998.8275,98.0
2024-01-01 22:00:00,0.0,997.9067,0.0,997.6862,98.0
2024-01-01 22:30:00,0.0,989.95447,0.0,998.2853,98.0
2024-01-01 23:00:00,0.0,984.455,0.0,994.8811,98.0
2024-01-01 23:30:00,0.0,981.1511,0.0,995.6881,98.0
2024-01-02 00:00:00,0.0,985.54865,0.0,997.1006,98.0
2024-01-02 00:30:00,0.0,981.9058,0.0,997.3717,98.0
2024-01-02 01:00:00,0.0,936.68756,0.0,998.9008,98.0
2024-01-02 01:30:00,0.0,936.1677,0.0,998.8973,98.0
2024-01-02 02:00:00,0.0,993.3813,0.0,996.1869,98.0
2024-01-02 02:30:00,0.0,995.271,0.0,996.4714,98.0
2024-01-02 03:00:00,0.0,996.957,0.0,997.2897,98.0
2024-01-02 03:30:00,0.0,995.50555,0.0,997.9378,98.0
2024-01-02 04:00:00,0.0,989.73035,0.0,998.0771,98.0
2024-01-02 04:30:00,0.0,781.8836,0.0,997.86884,98.0
2024-01-02 05:00:00,0.0,778.53296,0.0,998.4116,98.0
2024-01-02 05:30:00,0.0,495.97513,0.0,1000.1097,98.0
2024-01-02 06:00:00,0.0,153.8763,0.0,999.4987,98.0
2024-01-02 06:30:00,0.0,21.162518,0.0,1001.1269,98.0
