time,dc_ground_1500vdc_power_output,windflow_33_[500kw]_power_output,ac_primary_load,total_consumption_rate,grid_sellback_rate,P_import (kW),P_export (kW),P_bat_ch (kW),P_bat_dis (kW),SOC (%)
2024-01-01 00:00:00,0.0,57.58961,91.98999,0.15638,0.04731,0.0,0.0,0.0,0.0,50.0
2024-01-01 00:30:00,0.0,57.58961,69.38999,0.15638,0.04731,0.0,0.0,57.59,69.39,49.54170986842105
2024-01-01 01:00:00,0.0,18.22563,18.23,0.1532,0.04413,0.0,0.0,18.226,18.23,49.49484052631579
2024-01-01 01:30:00,0.0,18.22563,18.23,0.1532,0.04413,0.0,0.0,18.226,18.23,49.44797118421053
2024-01-01 02:00:00,0.0,0.0,0.0,0.12781,0.01874,0.0,0.0,0.0,0.0,49.44797118421053
2024-01-01 02:30:00,0.0,0.0,0.0,0.12781,0.01874,0.0,0.0,0.0,0.0,49.44797118421053
2024-01-01 03:00:00,0.0,0.0,0.0,0.10993,0.00086,0.0,0.0,0.0,0.0,49.44797118421053
2024-01-01 03:30:00,0.0,0.0,3.4,0.10993,0.00086,0.0,0.0,0.0,3.4,49.358497500000006
2024-01-01 04:00:00,0.0,0.0,0.0,0.10949,0.001,0.0,0.0,0.0,0.0,49.358497500000006
2024-01-01 04:30:00,0.0,0.0,0.0,0.10949,0.001,0.0,0.0,0.0,0.0,49.358497500000006
2024-01-01 05:00:00,0.0,0.0,0.0,0.10958,0.00091,0.0,0.0,0.0,0.0,49.358497500000006
2024-01-01 05:30:00,0.0,0.0,0.0,0.10958,0.00091,0.0,0.0,0.0,0.0,49.358497500000006
2024-01-01 06:00:00,0.0,0.0,0.0,0.11091,0.00184,0.0,0.0,0.0,0.0,49.358497500000006
2024-01-01 06:30:00,0.0,0.0,0.0,0.11091,0.00184,0.0,0.0,0.0,0.0,49.358497500000006
2024-01-01 07:00:00,0.0,0.0,0.4,0.11354,0.00447,0.0,0.0,0.0,0.4,49.34797118421053
2024-01-01 07:30:00,0.0,0.0,2.0,0.11354,0.00447,0.0,0.0,0.0,2.0,49.29533960526316
2024-01-01 08:00:00,2.067901,0.0,0.0,0.12353,0.01581,0.0,0.0,2.068,0.0,49.34445460526316
2024-01-01 08:30:00,2.067901,0.0,5.8,0.12353,0.01581,0.0,0.0,2.068,5.8,49.24093802631579
