time,P_import (kW),P_export (kW),P_bat_ch (kW),P_bat_dis (kW),SOC (%)
2024-01-01 00:00:00,34.400380000000006,0,0.0,0.0,5.0
2024-01-01 00:30:00,11.800379999999997,0,0.0,0.0,5.0
2024-01-01 01:00:00,0.004370000000001539,0,0.0,0.0,5.0
2024-01-01 01:30:00,0.004370000000001539,0,0.0,0.0,5.0
2024-01-01 02:00:00,0.0,0,0.0,0.0,5.0
2024-01-01 02:30:00,0.0,0,0.0,0.0,5.0
2024-01-01 03:00:00,0.0,0,0.0,0.0,5.0
2024-01-01 03:30:00,3.4,0,0.0,0.0,5.0
2024-01-01 04:00:00,0.0,0,0.0,0.0,5.0
2024-01-01 04:30:00,0.0,0,0.0,0.0,5.0
2024-01-01 05:00:00,0.0,0,0.0,0.0,5.0
2024-01-01 05:30:00,0.0,0,0.0,0.0,5.0
2024-01-01 06:00:00,0.0,0,0.0,0.0,5.0
2024-01-01 06:30:00,0.0,0,0.0,0.0,5.0
2024-01-01 07:00:00,0.4,0,0.0,0.0,5.0
2024-01-01 07:30:00,2.0,0,0.0,0.0,5.0
2024-01-01 08:00:00,0.0,0,2.067901,0.0,5.0982252975
2024-01-01 08:30:00,1.865818347499997,0,0.0,1.8662806525000029,5.0
2024-01-01 09:00:00,0.0,0,3.769869999999999,0.0,5.179068825
2024-01-01 09:30:00,0.0,0,17.16987,0.0,5.9946376500000005
2024-01-01 10:00:00,0.0,0,0.0,5.236912,5.719010702631579
2024-01-01 10:30:00,0.0,0,0.0,4.236912,5.496015334210526
2024-01-01 11:00:00,0.0,0,0.0,0.22897299999999987,5.48396412368421
2024-01-01 11:30:00,0.0,0,0.0,1.428973,5.408755018421052
2024-01-01 12:00:00,0.0,0,24.78925,0.0,6.586244393421052
2024-01-01 12:30:00,0.0,0,0.0,8.61075,6.133047024999999
2024-01-01 13:00:00,68.23398652500002,0,0.0,21.52789347499998,5.0
2024-01-01 13:30:00,84.76188,0,0.0,0.0,5.0
2024-01-01 14:00:00,82.789996,0,0.0,0.0,5.0
2024-01-01 14:30:00,148.79000599999998,0,0.0,0.0,5.0
2024-01-01 15:00:00,143.76907699999998,0,0.0,0.0,5.0
2024-01-01 15:30:00,127.969077,0,0.0,0.0,5.0
2024-01-01 16:00:00,95.79632000000001,0,0.0,0.0,5.0
2024-01-01 16:30:00,99.79632000000001,0,0.0,0.0,5.0
2024-01-01 17:00:00,71.00397,0,0.0,0.0,5.0
2024-01-01 17:30:00,35.20397,0,0.0,0.0,5.0
2024-01-01 18:00:00,16.6,0,0.0,0.0,5.0
2024-01-01 18:30:00,10.4,0,0.0,0.0,5.0
2024-01-01 19:00:00,12.403850000000006,0,0.0,0.0,5.0
2024-01-01 19:30:00,20.003860000000003,0,0.0,0.0,5.0
2024-01-01 20:00:00,2.996200000000016,0,0.0,0.0,5.0
2024-01-01 20:30:00,2.796199999999999,0,0.0,0.0,5.0
2024-01-01 21:00:00,0.0005099999999913507,0,0.0,0.0,5.0
2024-01-01 21:30:00,0.6005099999999999,0,0.0,0.0,5.0
2024-01-01 22:00:00,1.2,0,0.0,0.0,5.0
2024-01-01 22:30:00,10.2,0,0.0,0.0,5.0
2024-01-01 23:00:00,14.398584,0,0.0,0.0,5.0
2024-01-01 23:30:00,18.598584000000002,0,0.0,0.0,5.0
2024-01-02 00:00:00,13.39676,0,0.0,0.0,5.0
2024-01-02 00:30:00,16.996760000000002,0,0.0,0.0,5.0
2024-01-02 01:00:00,66.00344000000001,0,0.0,0.0,5.0
2024-01-02 01:30:00,66.40343999999999,0,0.0,0.0,5.0
2024-01-02 02:00:00,2.9963100000000082,0,0.0,0.0,5.0
2024-01-02 02:30:00,1.196300000000008,0,0.0,0.0,5.0
2024-01-02 03:00:00,0.2,0,0.0,0.0,5.0
2024-01-02 03:30:00,2.4,0,0.0,0.0,5.0
2024-01-02 04:00:00,9.204500000000003,0,0.0,0.0,5.0
2024-01-02 04:30:00,221.2045,0,0.0,0.0,5.0
2024-01-02 05:00:00,222.6007,0,0.0,0.0,5.0
2024-01-02 05:30:00,510.00059999999996,0,0.0,0.0,5.0
2024-01-02 06:00:00,853.3977,0,0.0,0.0,5.0
2024-01-02 06:30:00,991.7977000000001,0,0.0,0.0,5.0
2024-01-02 07:00:00,1046.8044,0,0.0,0.0,5.0
2024-01-02 07:30:00,1097.6044000000002,0,0.0,0.0,5.0
2024-01-02 08:00:00,1053.3969949999998,0,0.0,0.0,5.0
2024-01-02 08:30:00,1080.196995,0,0.0,0.0,5.0
2024-01-02 09:00:00,998.59221,0,0.0,0.0,5.0
2024-01-02 09:30:00,1035.59221,0,0.0,0.0,5.0
2024-01-02 10:00:00,962.5666999999999,0,0.0,0.0,5.0
2024-01-02 10:30:00,975.1667,0,0.0,0.0,5.0
2024-01-02 11:00:00,620.8097,0,0.0,0.0,5.0
2024-01-02 11:30:00,485.6097,0,0.0,0.0,5.0
2024-01-02 12:00:00,464.25091999999995,0,0.0,0.0,5.0
2024-01-02 12:30:00,529.8509199999999,0,0.0,0.0,5.0
2024-01-02 13:00:00,696.4295,0,0.0,0.0,5.0
2024-01-02 13:30:00,590.0295000000001,0,0.0,0.0,5.0
2024-01-02 14:00:00,212.24919999999997,0,0.0,0.0,5.0
2024-01-02 14:30:00,124.84910000000002,0,0.0,0.0,5.0
2024-01-02 15:00:00,754.64544,0,0.0,0.0,5.0
2024-01-02 15:30:00,734.04534,0,0.0,0.0,5.0
2024-01-02 16:00:00,662.40209,0,0.0,0.0,5.0
2024-01-02 16:30:00,562.80199,0,0.0,0.0,5.0
2024-01-02 17:00:00,359.4,0,0.0,0.0,5.0
2024-01-02 17:30:00,329.8,0,0.0,0.0,5.0
2024-01-02 18:00:00,178.8,0,0.0,0.0,5.0
2024-01-02 18:30:00,169.0,0,0.0,0.0,5.0
2024-01-02 19:00:00,154.6,0,0.0,0.0,5.0
2024-01-02 19:30:00,199.4,0,0.0,0.0,5.0
2024-01-02 20:00:00,252.99727000000001,0,0.0,0.0,5.0
2024-01-02 20:30:00,282.39727,0,0.0,0.0,5.0
2024-01-02 21:00:00,172.0,0,0.0,0.0,5.0
2024-01-02 21:30:00,165.8,0,0.0,0.0,5.0
2024-01-02 22:00:00,137.2,0,0.0,0.0,5.0
2024-01-02 22:30:00,161.6,0,0.0,0.0,5.0
2024-01-02 23:00:00,139.4,0,0.0,0.0,5.0
2024-01-02 23:30:00,173.0,0,0.0,0.0,5.0
2024-01-03 00:00:00,115.2,0,0.0,0.0,5.0
2024-01-03 00:30:00,86.59999,0,0.0,0.0,5.0
2024-01-03 01:00:00,35.59999,0,0.0,0.0,5.0
2024-01-03 01:30:00,54.4,0,0.0,0.0,5.0
2024-01-03 02:00:00,57.0,0,0.0,0.0,5.0
2024-01-03 02:30:00,42.0,0,0.0,0.0,5.0
2024-01-03 03:00:00,57.800470000000004,0,0.0,0.0,5.0
2024-01-03 03:30:00,82.60048,0,0.0,0.0,5.0
2024-01-03 04:00:00,56.60105999999999,0,0.0,0.0,5.0
2024-01-03 04:30:00,188.00105999999997,0,0.0,0.0,5.0
2024-01-03 05:00:00,259.797,0,0.0,0.0,5.0
2024-01-03 05:30:00,512.3969000000001,0,0.0,0.0,5.0
2024-01-03 06:00:00,801.203659,0,0.0,0.0,5.0
2024-01-03 06:30:00,943.0036590000001,0,0.0,0.0,5.0
2024-01-03 07:00:00,969.80238,0,0.0,0.0,5.0
2024-01-03 07:30:00,952.60238,0,0.0,0.0,5.0
2024-01-03 08:00:00,953.74555,0,0.0,0.0,5.0
2024-01-03 08:30:00,902.74555,0,0.0,0.0,5.0
2024-01-03 09:00:00,835.6766000000001,0,0.0,0.0,5.0
2024-01-03 09:30:00,846.2766,0,0.0,0.0,5.0
2024-01-03 10:00:00,263.30449999999996,0,0.0,0.0,5.0
2024-01-03 10:30:00,294.9045000000001,0,0.0,0.0,5.0
2024-01-03 11:00:00,0.0,0,224.97278000000006,0.0,15.68620705
2024-01-03 11:30:00,0.0,0,239.37277999999992,0.0,27.05641409999999
2024-01-03 12:00:00,0.0,0,383.60000000000014,0.0,45.277414099999994
2024-01-03 12:30:00,0.0,0,362.60000000000014,0.0,62.5009141
