time,P_import (kW),P_export (kW),P_bat_ch (kW),P_bat_dis (kW),SOC (%)
2024-01-01 00:00:00,0.0,0.0,0.0,0.0,50.0
2024-01-01 00:30:00,0.0,0.0,57.58961,0.0,51.3677532375
2024-01-01 01:00:00,0.0,0.0,37.58961,0.0,52.260506475
2024-01-01 01:30:00,0.0,0.0,18.22563,0.0,52.6933651875
2024-01-01 02:00:00,0.0,0.0,0.0,0.0,52.6933651875
2024-01-01 02:30:00,0.0,0.0,0.0,0.0,52.6933651875
2024-01-01 03:00:00,0.0,0.0,0.0,0.0,52.6933651875
2024-01-01 03:30:00,0.0,0.0,0.0,3.4,52.603891503289475
2024-01-01 04:00:00,0.0,0.0,0.0,0.0,52.603891503289475
2024-01-01 04:30:00,0.0,0.0,0.0,0.0,52.603891503289475
2024-01-01 05:00:00,0.0,0.0,0.0,0.0,52.603891503289475
2024-01-01 05:30:00,0.0,0.0,0.0,0.0,52.603891503289475
2024-01-01 06:00:00,0.0,0.0,0.0,0.0,52.603891503289475
2024-01-01 06:30:00,0.0,0.0,0.0,0.0,52.603891503289475
2024-01-01 07:00:00,0.0,0.0,0.0,0.4,52.5933651875
2024-01-01 07:30:00,0.0,0.0,0.0,2.0,52.54073360855263
2024-01-01 08:00:00,0.0,0.0,2.067901,0.0,52.589846257302625
2024-01-01 08:30:00,0.0,0.0,2.067901,0.0,52.63895890605262
2024-01-01 09:00:00,0.0,0.0,18.36987,0.0,53.07524331855262
2024-01-01 09:30:00,0.0,0.0,18.36987,0.0,53.511527731052624
2024-01-01 10:00:00,0.0,0.0,0.0,5.236912,53.37371425736841
2024-01-01 10:30:00,0.0,0.0,0.0,4.236912,53.262216573157886
2024-01-01 11:00:00,0.0,0.0,0.0,0.22897299999999987,53.25619096789473
2024-01-01 11:30:00,0.0,0.0,0.0,1.428973,53.218586415263154
2024-01-01 12:00:00,0.0,20.0,0.0,0.0,53.218586415263154
2024-01-01 12:30:00,0.0,0.0,0.0,8.61075,52.991987731052625
2024-01-01 13:00:00,0.0,20.0,0.0,28.61075,52.23907325736842
2024-01-01 13:30:00,0.0,40.0,0.0,48.610749999999996,50.959842994210526
2024-01-01 14:00:00,0.0,60.0,0.0,68.61075,49.15429694157895
2024-01-01 14:30:00,0.0,80.0,0.0,88.61075,46.82243509947369
2024-01-01 15:00:00,0.0,100.0,0.0,108.61075,43.96425746789474
2024-01-01 15:30:00,0.0,120.0,0.0,128.61075,40.57976404684211
2024-01-01 16:00:00,0.0,140.0,0.0,148.61075,36.66895483631579
2024-01-01 16:30:00,0.0,160.0,0.0,168.61075,32.23182983631579
2024-01-01 17:00:00,0.0,180.0,0.0,188.61075,27.268389046842103
2024-01-01 17:30:00,0.0,200.0,0.0,208.61075,21.778632467894735
2024-01-01 18:00:00,0.0,220.0,0.0,228.61075,15.762560099473681
2024-01-01 18:30:00,0.0,200.0,0.0,208.61075,10.272803520526313
2024-01-01 19:00:00,0.0,180.0,0.0,188.61075,5.309362731052628
2024-01-01 19:30:00,0.0,160.0,0.0,168.61075,5.0
2024-01-01 20:00:00,0.0,140.0,20.0,148.61075,5.0
2024-01-01 20:30:00,0.0,120.0,40.0,128.61075,5.0
2024-01-01 21:00:00,0.0,100.0,60.0,108.61075,5.0
2024-01-01 21:30:00,0.0,80.0,80.0,88.61075,5.0
2024-01-01 22:00:00,0.0,60.0,60.0,68.61075,5.0
2024-01-01 22:30:00,0.0,40.0,40.0,48.610749999999996,5.0
2024-01-01 23:00:00,0.0,20.0,20.0,28.610749999999996,5.0
2024-01-01 23:30:00,0.0,0.0,5.681416,8.610749999999996,5.0
2024-01-02 00:00:00,0.0,0.0,25.681416,0.0,5.60993363
2024-01-02 00:30:00,0.0,0.0,35.59324,0.0,6.4552730799999996
2024-01-02 01:00:00,0.0,0.0,21.84655,0.0,6.974128642499999
2024-01-02 01:30:00,0.0,0.0,21.84655,0.0,7.492984204999999
2024-01-02 02:00:00,0.0,0.0,41.84655,0.0,8.4868397675
2024-01-02 02:30:00,0.0,0.0,61.84655,0.0,9.95569533
2024-01-02 03:00:00,0.0,0.0,41.84655,0.2,10.944287734605263
2024-01-02 03:30:00,0.0,0.0,21.84655,2.4,11.39998540236842
2024-01-02 04:00:00,0.0,0.0,20.2355,0.0,11.88057852736842
2024-01-02 04:30:00,0.0,0.0,20.2355,0.0,12.361171652368421
2024-01-02 05:00:00,0.0,0.0,40.2355,0.0,13.316764777368421
2024-01-02 05:30:00,0.0,0.0,20.235500000000002,20.0,13.271042112894737
2024-01-02 06:00:00,0.0,0.0,0.23550000000000182,40.0,12.224003658947368
2024-01-02 06:30:00,0.0,0.0,0.0,60.0,10.645056290526314
2024-01-02 07:00:00,20.0,0.0,0.0,80.0,8.539793132631576
2024-01-02 07:30:00,40.0,0.0,0.0,100.0,5.908214185263155
2024-01-02 08:00:00,53.39699499999983,0.0,0.0,120.0,5.0
2024-01-02 08:30:00,73.39699499999983,0.0,0.0,140.0,5.0
2024-01-02 09:00:00,53.39699499999983,0.0,0.0,160.0,5.0
2024-01-02 09:30:00,35.59221000000002,0.0,0.0,180.0,5.0
2024-01-02 10:00:00,15.592210000000023,0.0,0.0,200.0,5.0
2024-01-02 10:30:00,0.0,0.0,0.0,220.0,5.0
2024-01-02 11:00:00,0.0,0.0,0.0,240.0,5.0
2024-01-02 11:30:00,0.0,0.0,0.0,260.0,5.0
2024-01-02 12:00:00,0.0,0.0,0.0,280.0,5.0
2024-01-02 12:30:00,0.0,0.0,0.0,300.0,5.0
2024-01-02 13:00:00,0.0,0.0,0.0,320.0,5.0
2024-01-02 13:30:00,0.0,0.0,0.0,340.0,5.0
2024-01-02 14:00:00,0.0,0.0,0.0,320.0,5.0
2024-01-02 14:30:00,0.0,0.0,0.0,300.0,5.0
2024-01-02 15:00:00,0.0,0.0,0.0,320.0,5.0
2024-01-02 15:30:00,0.0,0.0,0.0,340.0,5.0
2024-01-02 16:00:00,0.0,0.0,0.0,360.0,5.0
2024-01-02 16:30:00,0.0,0.0,0.0,380.0,5.0
2024-01-02 17:00:00,0.0,0.0,0.0,360.0,5.0
2024-01-02 17:30:00,0.0,0.0,0.0,340.0,5.0
2024-01-02 18:00:00,0.0,0.0,0.0,320.0,5.0
2024-01-02 18:30:00,0.0,0.0,0.0,300.0,5.0
2024-01-02 19:00:00,0.0,0.0,0.0,280.0,5.0
2024-01-02 19:30:00,0.0,0.0,0.0,260.0,5.0
2024-01-02 20:00:00,0.0,0.0,0.0,252.99727000000001,5.0
2024-01-02 20:30:00,0.0,0.0,0.0,272.99727,5.0
2024-01-02 21:00:00,0.0,0.0,0.0,252.99727000000001,5.0
2024-01-02 21:30:00,0.0,0.0,0.0,232.99727000000001,5.0
2024-01-02 22:00:00,0.0,0.0,0.0,212.99727000000001,5.0
2024-01-02 22:30:00,0.0,0.0,0.0,192.99727000000001,5.0
2024-01-02 23:00:00,0.0,0.0,0.0,172.99727000000001,5.0
2024-01-02 23:30:00,0.0,0.0,0.0,173.0,5.0
2024-01-03 00:00:00,0.0,0.0,0.0,153.0,5.0
2024-01-03 00:30:00,0.0,0.0,0.0,133.0,5.0
2024-01-03 01:00:00,0.0,0.0,0.0,113.0,5.0
2024-01-03 01:30:00,0.0,0.0,0.0,93.0,5.0
2024-01-03 02:00:00,0.0,0.0,0.0,73.0,5.0
2024-01-03 02:30:00,0.0,0.0,0.0,53.0,5.0
2024-01-03 03:00:00,0.0,0.0,0.0,57.800470000000004,5.0
2024-01-03 03:30:00,0.0,0.0,0.0,77.80047,5.0
2024-01-03 04:00:00,0.0,0.0,0.0,57.800470000000004,5.0
2024-01-03 04:30:00,0.0,0.0,0.0,77.80047,5.0
2024-01-03 05:00:00,0.0,0.0,0.0,97.80047,5.0
2024-01-03 05:30:00,0.0,0.0,0.0,117.80047,5.0
2024-01-03 06:00:00,0.0,0.0,0.0,137.80047000000002,5.0
2024-01-03 06:30:00,0.0,0.0,0.0,157.80047000000002,5.0
2024-01-03 07:00:00,0.0,0.0,0.0,177.80047000000002,5.0
2024-01-03 07:30:00,0.0,0.0,0.0,197.80047000000002,5.0
2024-01-03 08:00:00,0.0,0.0,0.0,217.80047000000002,5.0
2024-01-03 08:30:00,0.0,0.0,0.0,237.80047000000002,5.0
2024-01-03 09:00:00,0.0,0.0,0.0,257.80047,5.0
2024-01-03 09:30:00,0.0,0.0,0.0,277.80047,5.0
2024-01-03 10:00:00,0.0,0.0,0.0,263.30449999999996,5.0
2024-01-03 10:30:00,0.0,0.0,0.0,283.30449999999996,5.0
2024-01-03 11:00:00,0.0,20.0,0.0,263.30449999999996,5.0
2024-01-03 11:30:00,0.0,40.0,0.0,243.30449999999996,5.0
2024-01-03 12:00:00,0.0,60.0,0.0,223.30449999999996,5.0
2024-01-03 12:30:00,0.0,80.0,0.0,203.30449999999996,5.0
2024-01-03 13:00:00,0.0,100.0,0.0,183.30449999999996,5.0
2024-01-03 13:30:00,0.0,120.0,0.0,163.30449999999996,5.0
2024-01-03 14:00:00,0.0,100.0,0.0,151.80570000000012,5.0
2024-01-03 14:30:00,0.0,80.0,0.0,131.80570000000012,5.0
2024-01-03 15:00:00,0.0,60.0,0.0,151.80570000000012,5.0
2024-01-03 15:30:00,0.0,40.0,0.0,171.80570000000012,5.0
2024-01-03 16:00:00,0.0,20.0,0.0,191.80570000000012,5.0
2024-01-03 16:30:00,0.0,0.0,0.0,211.80570000000012,5.0
2024-01-03 17:00:00,0.0,0.0,0.0,231.80570000000012,5.0
2024-01-03 17:30:00,0.0,0.0,0.0,251.80570000000012,5.0
2024-01-03 18:00:00,0.0,0.0,0.0,271.8057000000001,5.0
2024-01-03 18:30:00,0.0,0.0,0.0,291.8057000000001,5.0
2024-01-03 19:00:00,0.0,0.0,0.0,271.8057000000001,5.0
2024-01-03 19:30:00,0.0,0.0,0.0,256.60390000000007,5.0
2024-01-03 20:00:00,0.0,0.0,0.0,239.59940000000006,5.0
2024-01-03 20:30:00,0.0,0.0,0.0,219.59940000000006,5.0
2024-01-03 21:00:00,0.0,0.0,0.0,226.59569999999997,5.0
2024-01-03 21:30:00,0.0,0.0,0.0,234.19579999999996,5.0
2024-01-03 22:00:00,0.0,0.0,0.0,214.19579999999996,5.0
2024-01-03 22:30:00,0.0,0.0,0.0,225.39750000000004,5.0
2024-01-03 23:00:00,0.0,0.0,0.0,205.39750000000004,5.0
2024-01-03 23:30:00,0.0,0.0,0.0,190.79664000000002,5.0
2024-01-04 00:00:00,0.0,0.0,0.0,199.2,5.0
